date,cpi_mom_index,monthly_factor,price_index,inflation_yoy
2023-02-01,100.7,1.0070000000000001,1411.5512252055848,24.862401611739582
2023-03-01,101.5,1.015,1432.7244935836684,21.277835058292528
2023-04-01,100.2,1.002,1435.5899425708358,17.866528349572384
2023-05-01,100.5,1.005,1442.76789228369,15.341636797780179
2023-06-01,100.8,1.008,1454.3100354219594,12.768544997247734
2023-07-01,99.4,0.9940000000000001,1445.5841752094277,11.312744515654671
2023-08-01,98.6,0.986,1425.3459967564957,8.560203850084559
2023-09-01,100.5,1.005,1432.472726740278,7.068699577365023
2023-10-01,100.8,1.008,1443.9325085542002,5.292926023398992
2023-11-01,100.5,1.005,1451.152171096971,5.08380402533859
2023-12-01,100.7,1.0070000000000001,1461.31023629465,5.0838040253385675
2024-01-01,100.4,1.004,1467.1554772398285,4.6668048030158005
2024-02-01,100.3,1.003,1471.5569436715477,4.251047882249082
2024-03-01,100.5,1.005,1478.9147283899053,3.223943962226916
2024-04-01,100.2,1.002,1481.8725578466851,3.223943962226916
2024-05-01,100.6,1.006,1490.7637931937654,3.3266543542291416
2024-06-01,102.2,1.022,1523.5605966440282,4.761746775815667
2024-07-01,100.0,1.0,1523.5605966440282,5.394111444482563
2024-08-01,100.6,1.006,1532.7019602238925,7.531923035648536
2024-09-01,101.5,1.015,1555.6924896272506,8.60189241908782
2024-10-01,101.8,1.018,1583.694954440541,9.679292145467656
2024-11-01,101.9,1.0190000000000001,1613.7851585749115,11.207162881822462
2024-12-01,101.4,1.014,1636.3781507949604,11.980201749918539
2025-01-01,101.2,1.012,1656.0146886045,12.872474273822277
2025-02-01,100.8,1.008,1669.2628061133362,13.435148622146453
2025-03-01,101.5,1.015,1694.3017482050361,14.56385656863548
2025-04-01,100.7,1.0070000000000001,1706.1618604424716,15.1355324996167
2025-05-01,101.3,1.013,1728.3419646282236,15.936674375856574
2025-06-01,100.8,1.008,1742.1687003452494,14.3485007542695
2025-07-01,99.8,0.998,1738.6843629445589,14.11980375276094
2025-08-01,99.8,0.998,1735.20699421867,13.2122904028384
2025-09-01,100.3,1.003,1740.4126152013255,11.873819974430466
2025-10-01,100.9,1.0090000000000001,1756.0763287381378,10.884758697642782
2025-11-01,100.4,1.004,1763.1006340530903,9.252500228099446
2025-12-01,100.2,1.002,1766.6268353211965,7.9595712313172085
